AwayTeam,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Home_Percentile,Away_Percentile
Anderlecht,11.071428571428571,7.571428571428571,5.428571428571429,3.5714285714285716,14.142857142857142,14.0,5.142857142857143,4.642857142857143,1.7857142857142858,2.2857142857142856,0.0,0.14285714285714285,0.5446428571428571,0.6875
Antwerp,9.8,9.0,4.333333333333333,4.4,14.133333333333333,14.8,5.533333333333333,4.2,1.4666666666666666,2.2666666666666666,0.06666666666666667,0.13333333333333333,0.5166666666666667,0.8125
Cercle Brugge,10.866666666666667,7.933333333333334,6.0,3.533333333333333,11.666666666666666,16.266666666666666,4.666666666666667,4.133333333333334,1.4,2.6,0.0,0.06666666666666667,0.5583333333333333,0.125
Charleroi,7.066666666666666,8.933333333333334,3.6,4.733333333333333,14.733333333333333,16.2,6.0,5.133333333333334,1.8,1.6666666666666667,0.06666666666666667,0.13333333333333333,0.525,0.625
Club Brugge,7.071428571428571,11.5,3.0,6.428571428571429,13.571428571428571,16.714285714285715,3.2142857142857144,6.642857142857143,2.142857142857143,1.9285714285714286,0.07142857142857142,0.0,0.5133928571428571,1.0
Eupen,11.4,6.6,5.4,3.066666666666667,12.8,15.0,6.2,3.466666666666667,1.6666666666666667,2.8,0.13333333333333333,0.26666666666666666,0.5458333333333333,0.25
Genk,9.266666666666667,9.733333333333333,4.6,4.6,13.066666666666666,11.8,4.866666666666666,5.333333333333333,1.8666666666666667,1.4,0.06666666666666667,0.0,0.5125,0.875
Gent,8.571428571428571,11.214285714285714,4.428571428571429,5.857142857142857,13.928571428571429,14.428571428571429,4.642857142857143,4.785714285714286,2.0,1.7857142857142858,0.0,0.07142857142857142,0.5357142857142857,0.9375
Kortrijk,10.785714285714286,7.785714285714286,4.857142857142857,3.7857142857142856,11.428571428571429,16.428571428571427,5.0,3.9285714285714284,1.2142857142857142,1.8571428571428572,0.07142857142857142,0.07142857142857142,0.53125,0.4375
Mechelen,10.428571428571429,7.142857142857143,4.785714285714286,3.142857142857143,14.142857142857142,12.642857142857142,6.071428571428571,3.5,1.4285714285714286,2.2857142857142856,0.0,0.14285714285714285,0.5133928571428571,0.5625
Mouscron,9.285714285714286,7.285714285714286,4.785714285714286,3.5,11.642857142857142,14.928571428571429,3.9285714285714284,4.571428571428571,1.3571428571428572,2.0,0.0,0.0,0.5267857142857143,0.375
Oostende,11.357142857142858,7.928571428571429,4.785714285714286,4.071428571428571,12.214285714285714,13.0,5.928571428571429,3.857142857142857,0.7142857142857143,1.5714285714285714,0.0,0.07142857142857142,0.5803571428571429,0.1875
St Truiden,13.866666666666667,7.2,6.733333333333333,3.2666666666666666,12.8,12.333333333333334,5.666666666666667,3.466666666666667,1.4,2.066666666666667,0.13333333333333333,0.2,0.5541666666666667,0.3125
Standard,9.928571428571429,11.142857142857142,4.785714285714286,4.928571428571429,13.857142857142858,14.642857142857142,4.214285714285714,5.071428571428571,2.0,2.2142857142857144,0.14285714285714285,0.35714285714285715,0.5044642857142857,0.75
Waasland-Beveren,10.666666666666666,7.4,5.866666666666666,2.933333333333333,14.333333333333334,13.6,7.0,3.3333333333333335,1.4,2.3333333333333335,0.0,0.06666666666666667,0.5625,0.0625
Waregem,11.266666666666667,7.866666666666666,5.2,3.8,14.066666666666666,14.666666666666666,4.6,4.066666666666666,1.5333333333333334,2.3333333333333335,0.0,0.26666666666666666,0.5291666666666667,0.5
