AwayTeam,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Home_Percentile,Away_Percentile
Aberdeen,10.652329749103943,9.053763440860216,4.989247311827957,4.10752688172043,11.845878136200717,12.301075268817204,5.17921146953405,4.953405017921147,1.5663082437275986,1.6272401433691757,0.1039426523297491,0.1039426523297491,0.535543608125448,0.7171445639283155
Celtic,7.903914590747331,13.483985765124554,3.7473309608540926,6.501779359430605,12.544483985765124,11.245551601423488,4.110320284697509,6.2064056939501775,1.8896797153024911,1.5516014234875444,0.11387900355871886,0.09608540925266904,0.5124555160177936,1.0
Dundee,12.663716814159292,7.849557522123894,5.787610619469026,3.265486725663717,12.353982300884956,11.628318584070797,6.31858407079646,3.734513274336283,1.415929203539823,1.7345132743362832,0.10619469026548672,0.07964601769911504,0.5376106194513275,0.23525073718584072
Dundee United,10.588516746411484,8.985645933014354,5.148325358851674,4.105263157894737,11.440191387559809,12.808612440191387,6.009569377990431,5.0047846889952154,1.4354066985645932,1.6172248803827751,0.11004784688995216,0.14832535885167464,0.5410685805406699,0.6439393938181818
Dunfermline,12.614035087719298,6.140350877192983,6.017543859649122,3.017543859649123,10.56140350877193,13.368421052631579,6.9298245614035086,3.789473684210526,0.8947368421052632,1.8245614035087718,0.07017543859649122,0.08771929824561403,0.5540935672631578,0.138888889
Falkirk,11.042553191489361,8.946808510638299,5.5,4.287234042553192,11.946808510638299,13.159574468085106,5.840425531914893,4.404255319148936,1.351063829787234,1.8936170212765957,0.09574468085106383,0.14893617021276595,0.5398936170106382,0.25
Gretna,12.4,7.4,6.15,3.2,11.2,13.55,6.55,3.7,0.8,1.65,0.0,0.15,0.5541666667,0.083333333
Hamilton,12.391566265060241,8.090361445783133,5.325301204819277,3.3012048192771086,11.849397590361447,13.319277108433734,6.397590361445783,4.126506024096385,1.4216867469879517,2.072289156626506,0.07228915662650602,0.1566265060240964,0.5476907630662651,0.22640562227108435
Hearts,10.67680608365019,8.532319391634982,4.893536121673004,3.779467680608365,12.828897338403042,14.224334600760455,5.520912547528517,4.608365019011407,1.7718631178707225,2.220532319391635,0.10266159695817491,0.22053231939163498,0.5491128010342204,0.7037389098479088
Hibernian,11.31390134529148,8.89237668161435,5.278026905829597,4.098654708520179,11.542600896860986,13.10762331838565,6.260089686098655,4.63677130044843,1.336322869955157,1.9910313901345291,0.07174887892376682,0.13901345291479822,0.5448430493183857,0.6603139013677131
Inverness C,10.895238095238096,8.857142857142858,4.795238095238095,3.9952380952380953,11.823809523809524,12.395238095238096,6.214285714285714,4.795238095238095,1.3666666666666667,1.7904761904761906,0.05238095238095238,0.11904761904761904,0.5329365079380952,0.46230158718095243
Kilmarnock,11.638297872340425,7.819148936170213,5.4361702127659575,3.6843971631205674,11.24468085106383,12.294326241134751,6.911347517730497,4.336879432624113,1.475177304964539,1.875886524822695,0.08156028368794327,0.07446808510638298,0.5552600472978723,0.38770685583687947
Livingston,12.25925925925926,7.888888888888889,5.888888888888889,2.9444444444444446,10.314814814814815,13.38888888888889,6.462962962962963,4.37037037037037,0.9259259259259259,1.9259259259259258,0.037037037037037035,0.05555555555555555,0.550925925962963,0.24537037003703704
Motherwell,11.569395017793594,8.11032028469751,5.295373665480427,3.7295373665480427,10.91814946619217,12.701067615658364,5.722419928825623,4.896797153024911,1.3202846975088969,1.7330960854092528,0.08540925266903915,0.10320284697508897,0.5444839857615659,0.5127520759857651
Partick,10.627659574468085,8.563829787234043,4.5638297872340425,3.595744680851064,9.882978723404255,11.73404255319149,5.191489361702128,4.75531914893617,1.2340425531914894,1.8829787234042554,0.02127659574468085,0.13829787234042554,0.5336879432446808,0.48404255325531914
Rangers,8.46829268292683,11.653658536585366,4.131707317073171,5.7560975609756095,13.307317073170731,12.726829268292683,4.575609756097561,5.814634146341463,2.0585365853658537,1.9365853658536585,0.12682926829268293,0.15121951219512195,0.5264227642097561,0.916666667
Ross County,12.267175572519085,8.053435114503817,5.290076335877862,3.5114503816793894,11.259541984732824,11.702290076335878,6.603053435114504,4.1603053435114505,1.4351145038167938,1.900763358778626,0.07633587786259542,0.11450381679389313,0.5521628498625953,0.3002544530229007
St Johnstone,10.950980392156863,8.102941176470589,4.745098039215686,3.450980392156863,11.573529411764707,11.333333333333334,5.421568627450981,4.529411764705882,1.411764705882353,1.9509803921568627,0.08333333333333333,0.09313725490196079,0.5526960784313726,0.49387254913235296
St Mirren,11.673170731707318,7.712195121951219,5.35609756097561,3.502439024390244,12.06829268292683,11.282926829268293,6.234146341463415,4.31219512195122,1.395121951219512,1.7707317073170732,0.11707317073170732,0.1024390243902439,0.5560975609609756,0.2130081302292683
