HomeTeam,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Home_Percentile,Away_Percentile
AEK,10.5,6.166666666666667,5.111111111111111,3.0,17.666666666666668,14.61111111111111,5.833333333333333,3.2222222222222223,2.2222222222222223,2.4444444444444446,0.16666666666666666,0.1111111111111111,0.857142857,0.5634920635555556
Aris,9.722222222222221,8.277777777777779,5.388888888888889,3.611111111111111,14.555555555555555,18.88888888888889,5.666666666666667,3.6666666666666665,1.9444444444444444,3.388888888888889,0.16666666666666666,0.1111111111111111,0.5,0.5873015873333334
Asteras Tripolis,8.529411764705882,7.235294117647059,4.176470588235294,2.9411764705882355,15.588235294117647,15.117647058823529,4.823529411764706,3.3529411764705883,2.9411764705882355,3.0,0.17647058823529413,0.17647058823529413,0.785714286,0.48739495794117643
Atromitos,9.235294117647058,7.176470588235294,4.0,3.235294117647059,15.941176470588236,16.764705882352942,5.235294117647059,4.0,2.3529411764705883,3.1176470588235294,0.0,0.17647058823529413,0.642857143,0.4747899159411765
Lamia,7.705882352941177,6.9411764705882355,3.4705882352941178,3.176470588235294,17.941176470588236,17.470588235294116,4.294117647058823,3.764705882352941,2.823529411764706,3.5294117647058822,0.17647058823529413,0.058823529411764705,0.214285714,0.5336134454117647
Larisa,8.411764705882353,5.764705882352941,3.764705882352941,2.411764705882353,16.647058823529413,18.058823529411764,5.235294117647059,3.764705882352941,3.3529411764705883,2.9411764705882355,0.058823529411764705,0.35294117647058826,0.357142857,0.4915966387058823
OFI Crete,9.444444444444445,6.777777777777778,4.555555555555555,3.5555555555555554,15.38888888888889,19.333333333333332,4.888888888888889,3.5,3.0,3.388888888888889,0.1111111111111111,0.3333333333333333,0.571428571,0.642857142888889
Olympiakos,11.61111111111111,6.277777777777778,6.111111111111111,2.7222222222222223,15.0,14.555555555555555,5.444444444444445,2.5555555555555554,1.5,2.6666666666666665,0.05555555555555555,0.05555555555555555,1.0,0.5476190476666667
PAOK,11.166666666666666,4.222222222222222,5.111111111111111,1.5,17.22222222222222,16.166666666666668,7.055555555555555,2.611111111111111,1.6666666666666667,3.0555555555555554,0.1111111111111111,0.2777777777777778,0.928571429,0.5555555555555556
Panathinaikos,8.0,7.5,4.222222222222222,3.7777777777777777,15.5,14.722222222222221,5.222222222222222,3.111111111111111,2.3333333333333335,2.5555555555555554,0.05555555555555555,0.16666666666666666,0.714285714,0.5714285714444445
Panetolikos,7.6875,8.1875,3.375,3.875,15.375,18.625,4.6875,3.4375,2.0625,2.6875,0.0625,0.125,0.428571429,0.52678571425
Panionios,6.75,10.125,3.5,5.125,14.625,17.625,4.875,5.6875,2.9375,3.25,0.125,0.125,0.071428571,0.5133928571249999
Volos NFC,8.3125,9.1875,3.375,4.1875,15.4375,15.0,3.5,5.6875,2.75,2.75,0.0625,0.25,0.142857143,0.53125
Xanthi,6.625,7.0625,3.3125,3.5625,16.1875,16.5,4.9375,4.6875,3.3125,3.5625,0.25,0.0625,0.285714286,0.540178571375
